cond,az,v,r,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
real,30,1.0,0.45,1,1.8896391648197197,-2.382804108781845,-1.026601070138015,-55.874720264115666,1.0,0.06629441408303885,0.7523751461230185,174
real,30,1.0,0.45,2,2.037944699513647,-2.506923806230681,-1.220250476738266,-61.118945416197455,0.725891919030168,0.07261904761904762,0.8133185489163387,195
nobrain,30,2.0,0.2,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,30,2.0,0.2,0,1.6734666321793972,-2.6713197373817166,-1.6481856905040324,-92.5966346045593,1.0,0.18931157998404158,0.94947968552624,187
real,30,2.0,0.2,1,1.5788001579608408,-2.4662131067048687,-1.1436887785189598,-72.10127268814983,1.0,0.14821397089690774,0.9554718428992592,197
real,30,2.0,0.2,2,1.6115695430686647,-2.5584771047225625,-1.3218938522710664,-78.68040542493871,1.0,0.16163082242761412,0.8926369077379062,217
nobrain,30,2.0,0.3,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,30,2.0,0.3,0,1.70006593182274,-2.613216429009923,-1.195621300527446,-72.29942250591269,1.0,0.14828571117821335,0.8460804737602018,190
real,30,2.0,0.3,1,1.639262131789142,-2.516000848253008,-1.1084260604782386,-65.3939439631925,1.0,0.13497475183367824,0.758124120644232,176
real,30,2.0,0.3,2,1.747420231464495,-2.6972607336882324,-1.316378632383485,-75.2495811421487,1.0,0.15435490238788024,0.8995061236587961,208
nobrain,30,2.0,0.45,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,30,2.0,0.45,0,1.8650066873326252,-2.780708767996872,-1.1776812451482908,-69.76874671063757,1.0,0.14273378200938236,0.8660008041030582,229
real,30,2.0,0.45,1,1.9495100639089198,-2.913812817525102,-1.3606894050227607,-76.43786737497916,1.0,0.15601425692628093,0.9197657877356095,196
real,30,2.0,0.45,2,1.9261242595325734,-2.8882913994667536,-1.3521696600070179,-75.98025543845674,1.0,0.15522699821167008,0.8819193290601344,225
nobrain,30,3.0,0.2,0,7.366306739906966e-14,0.0,0.0,0.0,0.0,0.0,0.0,0
real,30,3.0,0.2,0,1.3788933726591264,-2.5730119680274273,-1.5247684866833509,-95.31757081870025,1.0,0.2581398454453173,0.9964891398065882,245
real,30,3.0,0.2,1,1.373452895246526,-2.570565138023852,-1.5447775142858182,-94.32963666250266,1.0,0.2559737685212005,0.9807554089709402,233
real,30,3.0,0.2,2,1.35632988053091,-2.5464176504569855,-1.5162133667041828,-94.4442955394792,1.0,0.2562568268569585,1.0,255
nobrain,30,3.0,0.3,0,7.366306739906966e-14,0.0,0.0,0.0,0.0,0.0,0.0,0
real,30,3.0,0.3,0,1.515637447023262,-2.7728229670507205,-1.697440587651294,-98.04666472410129,1.0,0.2651526516152324,1.0,257
real,30,3.0,0.3,1,1.5182649857467656,-2.763100780871203,-1.6643223329001071,-97.01786736367826,1.0,0.26235970019281424,1.0,264
real,30,3.0,0.3,2,1.5197784241133268,-2.7593020059635123,-1.6506756881607751,-96.50215873730394,1.0,0.2609981506982534,1.0,260
nobrain,30,3.0,0.45,0,7.366306739906966e-14,0.0,0.0,0.0,0.0,0.0,0.0,0
real,30,3.0,0.45,0,1.5594134618928301,-2.8264318509980955,-1.7179548929125341,-98.32707068565962,1.0,0.265733829788595,1.0,353
real,30,3.0,0.45,1,1.5625681153714428,-2.8731018578196164,-1.8277111976847347,-101.77674279966301,1.0,0.2748338227727351,1.0,322
real,30,3.0,0.45,2,1.5536039147553817,-2.8467474904951064,-1.7849752941475536,-100.31543039428554,1.0,0.270982599305685,1.0,332
nobrain,45,1.0,0.2,0,5.798785560154258e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,45,1.0,0.2,0,1.1086968013032552,-1.807808582816102,-0.5742322802898423,-44.08351953040762,0.6059966036321093,0.052380952380952375,0.751153754916036,161
real,45,1.0,0.2,1,1.06296128289103,-1.75553830533999,-0.5319604413441554,-42.07596075966229,0.48392119077440937,0.05,0.6995237620527377,159
real,45,1.0,0.2,2,1.0187151470401363,-1.701664614873222,-0.4865831170976876,-40.06914768979046,0.4965792864919955,0.04761904761904762,0.7246263774655449,159
nobrain,45,1.0,0.3,0,5.798785560154258e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,45,1.0,0.3,0,1.2024331962093338,-1.9065492352089315,-0.6223540086545428,-43.0554251691691,0.7413261008956005,0.05119047619047618,0.6987235665135171,166
real,45,1.0,0.3,1,1.2778456438638246,-1.9849462245505574,-0.7100715016598395,-47.075827051385204,0.6153837187738411,0.05595238095238095,0.7830705971347277,165
real,45,1.0,0.3,2,1.5091481659430064,-2.195639982239989,-0.9556916566772948,-55.935797562678914,1.0,0.06645988895801332,0.8090359051739042,166
nobrain,45,1.0,0.45,0,5.798785560154258e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,45,1.0,0.45,0,1.5039492151007705,-2.202482173511455,-0.8674669752264063,-50.061919620933324,0.439141338772841,0.05952380952380953,0.7532033943919398,164
real,45,1.0,0.45,1,1.4576491884861447,-2.1602358046910144,-0.8218092754841057,-48.06106577384298,0.7112846777245111,0.05714285714285714,0.722712398930455,163
real,45,1.0,0.45,2,1.5024060023912031,-2.201228614486879,-0.8646607865888345,-50.07597112607265,0.6777296921691718,0.05952380952380953,0.8268031848807489,180
