cond,az,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
real,-30,6,1.749882211609341,2.2454240292503314,-0.9862994026280586,67.5353200048949,1.0,0.15897936170280952,0.899431446310003,226
real,-30,7,1.8444970178238211,2.325445747292009,-1.128586673535865,73.92555956929574,0.9636880404982281,0.1738095238095238,0.9902734863839668,233
real,-30,8,1.800455975916724,2.287337686912152,-1.08016559824137,72.41725467207308,1.0,0.1703227753211791,1.0,229
real,-30,9,1.9148648070038077,2.3702707611828386,-1.275677328346835,80.81493875804384,1.0,0.18966608927195816,0.9025767368868118,234
rand1,30,0,0.09566316620386507,-0.2420395829200172,-0.017839559083727828,-12.624317168063321,0.3284496359669191,0.030370215983535905,0.0,555
rand1,30,1,0.11882369579490067,-0.287536289466135,-0.02488728190200567,-14.769374676976833,0.3747484396981498,0.03608573579610211,0.0,532
rand1,30,2,0.1751008400712315,-0.3986682498352426,-0.046625297366155755,-20.392373079032215,0.38837518066053456,0.0488400372765293,0.0,558
rand1,30,3,0.11038065151643872,-0.23240079385057388,-0.014835064440370957,-10.676134188775881,0.3516329801209126,0.025538405562919614,0.0,574
rand1,30,4,0.13691782105355163,-0.2744076325307163,-0.020102624052395143,-12.924448320911827,0.32604684232159525,0.031043941815264584,0.0,545
rand1,30,5,0.12394652829659107,-0.28915616125214394,-0.024675032322996674,-15.038425737704538,0.35636569411638,0.03611109567772864,0.0,546
rand1,30,6,0.24034028716731562,-0.46794386197771987,-0.058683204832628406,-21.377665045993147,0.3413522385714016,0.051129409319581966,0.0,536
rand1,30,7,0.20547648696928977,-0.42050535283160173,-0.04832008908684093,-20.36155052051293,0.4047931222982052,0.04883998720361358,0.0,573
rand1,30,8,0.13283484438215615,-0.2704939648233335,-0.019931442016204132,-12.752413370313194,0.4366949599616515,0.030599401725566265,0.0,545
rand1,30,9,0.12977239699442364,-0.2648478886117801,-0.018931262120069757,-12.167543104022359,0.31964140811783387,0.029274261220692915,0.0,568
rand1,-30,0,1.1592526769854876,1.6420677576412361,-0.6672930590884565,60.84066620327607,0.6263941315071327,0.15036898127718362,0.0,473
rand1,-30,1,1.2107020582613714,1.7017149360881614,-0.7190044524520852,62.3923363820151,0.7872160150592176,0.1514541317960366,0.0,454
rand1,-30,2,1.3639774426505162,1.8637456461701296,-0.8418458896903162,65.75747647548367,0.7271356479244162,0.1563041459978584,0.0,393
rand1,-30,3,1.2353420563690063,1.7299796639350378,-0.7513269589804992,64.09232616097282,0.7867015156824289,0.15440652229379084,0.0,447
