stim,trial,group,neuron,rate
LPLC2_L,0,DN_all_right,125430,12.0
LPLC2_L,0,DN_all_right,125617,32.0
LPLC2_L,0,DN_all_right,125795,13.0
LPLC2_L,0,DN_all_right,126404,19.0
LPLC2_L,0,DN_all_right,127734,5.0
LPLC2_L,0,DN_all_right,127758,1.0
LPLC2_L,0,DN_all_right,128032,63.0
LPLC2_L,0,DN_all_right,128692,138.0
LPLC2_L,0,DN_all_right,128796,1.0
LPLC2_L,0,DN_all_right,128892,68.0
LPLC2_L,0,DN_all_right,129301,14.0
LPLC2_L,0,DN_all_right,129688,1.0
LPLC2_L,0,DN_all_right,129718,24.0
LPLC2_L,0,DN_all_right,129873,2.0
LPLC2_L,0,DN_all_right,130847,40.0
LPLC2_L,0,DN_all_right,131136,74.0
LPLC2_L,0,DN_all_right,131434,6.0
LPLC2_L,0,DN_all_right,131504,5.0
LPLC2_L,0,DN_all_right,133544,25.0
LPLC2_L,0,DN_all_right,140621,5.0
LPLC2_L,0,DN_all_right,140980,4.0
LPLC2_L,0,DN_all_right,141735,29.0
LPLC2_L,0,DN_all_right,143416,32.0
LPLC2_L,0,DN_all_right,144269,64.0
LPLC2_L,0,DN_all_right,145368,19.0
LPLC2_L,0,DN_all_right,151545,3.0
LPLC2_L,0,DN_all_right,161396,65.0
LPLC2_L,0,DN_all_right,162540,11.0
LPLC2_L,0,MN_all_left,111304,1.0
LPLC2_L,0,MN_all_left,142836,122.0
LPLC2_L,0,MN_all_left,142929,51.0
LPLC2_L,0,MN_all_left,142964,42.0
LPLC2_L,0,MN_all_left,143088,110.0
LPLC2_L,0,MN_all_left,143139,5.0
LPLC2_L,0,MN_all_left,143160,74.0
LPLC2_L,0,MN_all_left,143221,40.0
LPLC2_L,0,MN_all_left,143222,11.0
LPLC2_L,0,MN_all_left,143231,10.0
LPLC2_L,0,MN_all_left,143243,60.0
LPLC2_L,0,MN_all_left,143252,16.0
LPLC2_L,0,MN_all_left,143259,14.0
LPLC2_L,0,MN_all_left,143281,2.0
LPLC2_L,0,MN_all_left,143322,122.0
LPLC2_L,0,MN_all_left,143353,1.0
LPLC2_L,0,MN_all_left,143418,42.0
LPLC2_L,0,MN_all_left,143421,68.0
LPLC2_L,0,MN_all_left,143445,126.0
LPLC2_L,0,MN_all_left,143464,19.0
LPLC2_L,0,MN_all_left,143478,23.0
LPLC2_L,0,MN_all_left,143539,1.0
LPLC2_L,0,MN_all_left,143540,2.0
LPLC2_L,0,MN_all_left,143626,43.0
LPLC2_L,0,MN_all_left,143654,87.0
LPLC2_L,0,MN_all_left,143664,19.0
LPLC2_L,0,MN_all_left,143700,32.0
LPLC2_L,0,MN_all_left,143760,16.0
LPLC2_L,0,MN_all_left,143766,2.0
LPLC2_L,0,MN_all_left,143773,3.0
LPLC2_L,0,MN_all_left,143860,5.0
LPLC2_L,0,MN_all_left,143949,98.0
LPLC2_L,0,MN_all_left,144071,4.0
LPLC2_L,0,MN_all_left,144086,80.0
LPLC2_L,0,MN_all_left,144209,133.0
LPLC2_L,0,MN_all_left,144234,51.0
LPLC2_L,0,MN_all_left,144248,17.0
LPLC2_L,0,MN_all_left,144265,129.0
LPLC2_L,0,MN_all_left,144290,5.0
LPLC2_L,0,MN_all_left,144377,6.0
LPLC2_L,0,MN_all_left,144382,72.0
LPLC2_L,0,MN_all_left,144400,50.0
LPLC2_L,0,MN_all_left,144439,39.0
LPLC2_L,0,MN_all_left,144450,17.0
LPLC2_L,0,MN_all_left,144457,1.0
LPLC2_L,0,MN_all_left,144465,12.0
LPLC2_L,0,MN_all_left,144494,1.0
LPLC2_L,0,MN_all_left,144508,4.0
LPLC2_L,0,MN_all_left,144576,44.0
LPLC2_L,0,MN_all_left,144578,8.0
LPLC2_L,0,MN_all_left,144584,47.0
LPLC2_L,0,MN_all_left,144821,107.0
LPLC2_L,0,MN_all_left,144860,1.0
LPLC2_L,0,MN_all_left,144878,10.0
LPLC2_L,0,MN_all_left,144897,23.0
LPLC2_L,0,MN_all_left,144974,42.0
LPLC2_L,0,MN_all_left,145034,115.0
