root_id,baseline,LPLC2_L,LPLC2_R,LPLC2_both,LC4_L,LC4_R,LC4_LPLC2_L,cell_type,side
720575940626993694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge007,left
720575940639802685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge085,left
720575940622248453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge148,left
720575940626859283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp60,right
720575940641833869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg73,right
720575940609260494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg14,right
720575940615378399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg83,right
720575940660229505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg31,right
720575940620153765,0.0,5.0,5.75,2.5,1.5,8.25,6.75,DNp10,left
720575940640194493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg08_b,right
720575940632178892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge147,right
720575940639314229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge141,left
720575940629064186,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DNde003,right
720575940607378633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe039,left
720575940628125715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg87,left
720575940628627867,0.0,1.0,0.0,0.0,0.0,0.0,0.25,DNbe003,right
720575940625376062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg08_a,right
720575940625558730,0.0,7.75,0.0,5.75,0.0,0.0,9.25,DNbe005,right
720575940626834698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg12_b,right
720575940642027464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg03,right
720575940610091955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge113,left
720575940630610042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp32,right
720575940617140597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe024,left
720575940632524559,0.0,0.0,2.25,3.25,0.0,0.0,0.0,DNg70,right
720575940639159029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg36_a,left
720575940625253649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg12_b,right
720575940621923837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge008,left
720575940641278965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp43,right
720575940632161311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge010,right
720575940617809181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp69,right
720575940621561697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp28,left
